CMDLINE ns-train l3gs
MEM 13166.054688 1704770346.1111
MEM 13166.054688 1704770346.2114
MEM 13173.808594 1704770346.3119
MEM 13220.214844 1704770346.4123
MEM 13267.644531 1704770346.5128
MEM 13449.917969 1704770346.6133
MEM 13619.558594 1704770346.7139
MEM 13804.667969 1704770346.8144
MEM 13974.308594 1704770346.9148
MEM 14168.183594 1704770347.0154
MEM 14358.964844 1704770347.1158
MEM 14420.066406 1704770347.2168
MEM 14420.066406 1704770347.3178
MEM 13221.394531 1704770347.4181
MEM 13223.699219 1704770347.5184
MEM 13224.175781 1704770347.6186
MEM 13224.175781 1704770347.7189
MEM 13224.175781 1704770347.8192
MEM 13224.175781 1704770347.9195
MEM 13224.175781 1704770348.0198
MEM 13224.175781 1704770348.1201
MEM 13224.175781 1704770348.2203
MEM 13224.175781 1704770348.3206
MEM 13224.175781 1704770348.4210
MEM 13224.175781 1704770348.5214
MEM 13224.175781 1704770348.6218
MEM 13224.175781 1704770348.7222
MEM 13224.175781 1704770348.8227
MEM 13224.175781 1704770348.9233
MEM 13224.175781 1704770349.0238
MEM 13224.175781 1704770349.1242
MEM 13224.175781 1704770349.2246
MEM 13230.742188 1704770349.3249
MEM 13231.847656 1704770349.4252
MEM 13231.847656 1704770349.5256
MEM 13231.847656 1704770349.6258
MEM 13231.847656 1704770349.7263
MEM 13231.847656 1704770349.8266
MEM 13231.847656 1704770349.9269
MEM 13231.847656 1704770350.0274
MEM 13231.847656 1704770350.1278
MEM 13231.964844 1704770350.2283
MEM 13231.964844 1704770350.3288
MEM 13231.964844 1704770350.4292
MEM 13231.964844 1704770350.5297
MEM 13232.671875 1704770350.6300
MEM 13232.671875 1704770350.7305
MEM 13232.671875 1704770350.8309
MEM 13232.671875 1704770350.9314
MEM 13232.671875 1704770351.0318
MEM 13232.671875 1704770351.1322
MEM 13232.671875 1704770351.2326
MEM 13232.671875 1704770351.3330
MEM 13232.671875 1704770351.4333
MEM 13232.671875 1704770351.5337
MEM 13232.671875 1704770351.6341
MEM 13232.671875 1704770351.7345
MEM 13232.671875 1704770351.8349
MEM 13232.671875 1704770351.9354
MEM 13232.671875 1704770352.0359
MEM 13232.671875 1704770352.1363
MEM 13232.671875 1704770352.2367
MEM 13232.671875 1704770352.3372
MEM 13232.671875 1704770352.4376
MEM 13232.671875 1704770352.5380
MEM 14048.699219 1704770352.6385
MEM 15209.371094 1704770352.7389
MEM 16208.910156 1704770352.8396
MEM 16885.152344 1704770352.9400
MEM 16934.910156 1704770353.0405
MEM 16988.535156 1704770353.1409
MEM 17046.800781 1704770353.2413
MEM 17113.824219 1704770353.3417
MEM 17173.898438 1704770353.4421
MEM 17258.878906 1704770353.5425
MEM 17354.636719 1704770353.6431
MEM 17437.746094 1704770353.7435
MEM 17509.203125 1704770353.8439
MEM 17560.875000 1704770353.9443
MEM 17622.921875 1704770354.0449
MEM 17694.914062 1704770354.1452
MEM 16372.910156 1704770354.2456
MEM 14435.429688 1704770354.3460
MEM 13111.757812 1704770354.4463
MEM 13113.722656 1704770354.5467
MEM 13113.722656 1704770354.6472
MEM 13113.722656 1704770354.7475
MEM 13113.722656 1704770354.8478
MEM 13113.722656 1704770354.9482
MEM 13113.722656 1704770355.0485
MEM 13113.722656 1704770355.1490
MEM 13113.722656 1704770355.2493
MEM 13113.722656 1704770355.3496
MEM 13113.722656 1704770355.4499
MEM 13113.722656 1704770355.5502
MEM 13113.722656 1704770355.6506
MEM 13114.011719 1704770355.7509
MEM 13114.121094 1704770355.8512
MEM 13114.121094 1704770355.9516
MEM 13114.121094 1704770356.0519
MEM 13114.121094 1704770356.1523
MEM 13114.121094 1704770356.2527
MEM 13114.121094 1704770356.3531
MEM 13114.121094 1704770356.4534
MEM 13114.121094 1704770356.5537
MEM 13114.121094 1704770356.6544
MEM 13114.121094 1704770356.7548
MEM 13114.121094 1704770356.8552
MEM 13114.121094 1704770356.9556
MEM 13114.140625 1704770357.0560
MEM 13114.140625 1704770357.1564
MEM 13114.140625 1704770357.2568
MEM 13114.140625 1704770357.3571
MEM 13114.140625 1704770357.4575
MEM 13114.140625 1704770357.5580
MEM 13114.140625 1704770357.6584
MEM 13114.140625 1704770357.7587
MEM 13114.417969 1704770357.8590
MEM 13114.417969 1704770357.9594
MEM 13114.417969 1704770358.0597
MEM 13114.417969 1704770358.1600
MEM 13114.417969 1704770358.2603
MEM 13114.398438 1704770358.3607
MEM 13146.921875 1704770358.4610
MEM 13148.726562 1704770358.5613
MEM 13148.726562 1704770358.6617
MEM 13148.726562 1704770358.7620
MEM 13148.726562 1704770358.8624
MEM 13139.882812 1704770358.9627
MEM 13140.136719 1704770359.0631
MEM 13140.136719 1704770359.1635
MEM 13140.136719 1704770359.2639
MEM 13140.136719 1704770359.3643
MEM 13140.136719 1704770359.4648
MEM 13140.136719 1704770359.5651
MEM 13140.136719 1704770359.6657
MEM 13140.136719 1704770359.7661
MEM 13140.136719 1704770359.8666
MEM 13140.136719 1704770359.9671
MEM 13140.136719 1704770360.0674
MEM 13140.136719 1704770360.1679
MEM 13140.136719 1704770360.2683
MEM 13140.136719 1704770360.3688
MEM 13140.136719 1704770360.4693
MEM 13140.136719 1704770360.5699
MEM 13140.136719 1704770360.6703
MEM 13140.136719 1704770360.7708
MEM 13140.136719 1704770360.8713
MEM 13140.136719 1704770360.9718
MEM 13140.136719 1704770361.0722
MEM 13140.136719 1704770361.1727
MEM 13140.136719 1704770361.2730
MEM 13140.136719 1704770361.3734
MEM 13140.136719 1704770361.4737
MEM 13140.136719 1704770361.5740
MEM 13140.136719 1704770361.6744
MEM 13140.136719 1704770361.7747
MEM 13140.136719 1704770361.8750
MEM 13140.136719 1704770361.9753
MEM 13140.136719 1704770362.0758
MEM 13140.136719 1704770362.1761
MEM 13140.136719 1704770362.2766
MEM 13140.136719 1704770362.3769
MEM 13140.136719 1704770362.4773
MEM 13140.136719 1704770362.5778
MEM 13140.136719 1704770362.6781
MEM 13140.136719 1704770362.7784
MEM 13140.136719 1704770362.8788
MEM 13140.136719 1704770362.9791
MEM 13140.136719 1704770363.0794
MEM 13140.136719 1704770363.1797
MEM 13140.136719 1704770363.2800
MEM 13140.136719 1704770363.3805
MEM 13140.136719 1704770363.4808
MEM 13140.136719 1704770363.5812
MEM 13140.136719 1704770363.6815
MEM 13140.187500 1704770363.7818
MEM 13140.187500 1704770363.8821
MEM 13140.191406 1704770363.9826
MEM 13140.191406 1704770364.0830
MEM 13140.191406 1704770364.1835
MEM 13140.191406 1704770364.2841
MEM 13140.191406 1704770364.3846
MEM 13140.191406 1704770364.4850
MEM 13140.191406 1704770364.5855
MEM 13140.191406 1704770364.6859
MEM 13140.191406 1704770364.7862
MEM 13140.191406 1704770364.8867
MEM 13140.191406 1704770364.9871
MEM 13140.246094 1704770365.0876
MEM 13140.246094 1704770365.1879
MEM 13140.246094 1704770365.2883
MEM 13140.246094 1704770365.3888
MEM 13140.250000 1704770365.4892
MEM 13140.250000 1704770365.5897
MEM 13140.257812 1704770365.6902
MEM 13140.257812 1704770365.7907
MEM 13140.257812 1704770365.8910
MEM 13140.257812 1704770365.9914
MEM 13140.257812 1704770366.0917
MEM 13140.257812 1704770366.1920
MEM 13140.257812 1704770366.2924
MEM 13140.257812 1704770366.3927
MEM 13140.257812 1704770366.4932
MEM 13140.257812 1704770366.5935
MEM 13140.257812 1704770366.6938
MEM 13140.257812 1704770366.7941
MEM 13140.257812 1704770366.8945
MEM 13140.257812 1704770366.9948
MEM 13140.257812 1704770367.0953
MEM 13140.257812 1704770367.1956
MEM 13140.257812 1704770367.2960
MEM 13140.257812 1704770367.3965
MEM 13140.257812 1704770367.4969
MEM 13140.257812 1704770367.5974
MEM 13140.257812 1704770367.6979
MEM 13140.257812 1704770367.7983
MEM 13140.257812 1704770367.8988
MEM 13140.257812 1704770367.9993
MEM 13140.257812 1704770368.0997
MEM 13140.257812 1704770368.2002
MEM 13140.257812 1704770368.3006
MEM 13140.257812 1704770368.4011
MEM 13140.257812 1704770368.5016
